Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
Cowboys,308,3481,11.3,21,47,7,73T,166,53.9,5,82
Vikings,426,4288,10.1,23,51,7,70T,208,48.8,9,91
Chiefs,340,3352,9.9,19,39,3,60,169,49.7,6,71
Bengals,364,4480,12.3,23,65,11,86T,201,55.2,4,80
Jaguars,404,4355,10.8,27,47,13,76T,198,49,5,73
Chargers,389,4580,11.8,26,61,14,70,203,52.2,3,86
Lions,371,4562,12.3,28,69,9,92T,209,56.3,3,57
Commanders,396,4627,11.7,39,60,12,78T,218,55,3,98
Saints,333,3768,11.3,22,48,9,71T,167,50.2,4,68
Dolphins,380,4132,10.9,27,57,10,75T,186,49,6,66
Bills,363,3676,10.1,18,44,1,48,183,50.4,7,67
Packers,342,3803,11.1,21,56,3,52T,189,55.3,1,71
Texans,382,4334,11.4,17,60,15,75T,185,48.4,6,73
Seahawks,390,4259,10.9,21,57,10,54T,202,51.8,5,74
Eagles,425,4551,10.7,35,56,6,69T,222,52.2,6,80
Buccaneers,404,4568,11.3,23,65,9,76T,213,52.7,6,89
Rams,367,4195,11.4,24,57,10,80T,193,52.6,2,60
Jets,313,3182,10.2,19,39,7,81T,150,47.9,5,89
Browns,307,3149,10.3,23,39,7,75T,136,44.3,2,95
Colts,370,4157,11.2,21,54,8,75T,192,51.9,4,79
Cardinals,347,3846,11.1,32,49,10,63T,198,57.1,2,79
Patriots,370,3791,10.2,19,48,6,51,181,48.9,3,89
Panthers,309,3109,10.1,19,39,9,75T,162,52.4,3,59
Raiders,376,3900,10.4,21,43,11,79T,187,49.7,4,78
Giants,371,4157,11.2,21,43,10,80,191,51.5,8,71
Broncos,382,4302,11.3,29,56,8,68T,201,52.6,2,66
49ers,410,3949,9.6,20,45,5,60T,190,46.3,6,60
Ravens,384,3717,9.7,18,46,6,71T,175,45.6,3,47
Falcons,340,3707,10.9,24,49,6,61T,183,53.8,3,78
Steelers,348,4164,12,23,63,6,80T,186,53.4,6,66
Bears,410,4245,10.4,31,48,10,75T,196,47.8,4,80
Titans,387,4181,10.8,20,52,11,59T,189,48.8,2,79
